Medtronic	US	S&P500	Health Care	Health Care Equipment
Merck & Co.	US	S&P500	Health Care	Pharmaceuticals
Meta Platforms	US	S&P500	Communication Services	Interactive Media & Services
MetLife	US	S&P500	Financials	Life & Health Insurance
Mettler Toledo	US	S&P500	Health Care	Life Sciences Tools & Services
MGM Resorts	US	S&P500	Consumer Discretionary	Casinos & Gaming
Microchip Technology	US	S&P500	Information Technology	Semiconductors
Micron Technology	US	S&P500	Information Technology	Semiconductors
Microsoft	US	S&P500	Information Technology	Systems Software
Mid-America Apartment Communities	US	S&P500	Real Estate	Multi-Family Residential REITs
Moderna	US	S&P500	Health Care	Biotechnology
Molson Coors Beverage Company	US	S&P500	Consumer Staples	Brewers
Mondelez International	US	S&P500	Consumer Staples	Packaged Foods & Meats
Monolithic Power Systems	US	S&P500	Information Technology	Semiconductors
Monster Beverage	US	S&P500	Consumer Staples	Soft Drinks & Non-alcoholic Beverages
Moody's Corporation	US	S&P500	Financials	Financial Exchanges & Data
Morgan Stanley	US	S&P500	Financials	Investment Banking & Brokerage
Mosaic Company (The)	US	S&P500	Materials	Fertilizers & Agricultural Chemicals
Motorola Solutions	US	S&P500	Information Technology	Communications Equipment
MSCI Inc.	US	S&P500	Financials	Financial Exchanges & Data
Nasdaq, Inc.	US	S&P500	Financials	Financial Exchanges & Data
NetApp	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
Netflix	US	S&P500	Communication Services	Movies & Entertainment
Newmont	US	S&P500	Materials	Gold
News Corp (Class A)	US	S&P500	Communication Services	Publishing
News Corp (Class B)	US	S&P500	Communication Services	Publishing
NextEra Energy	US	S&P500	Utilities	Multi-Utilities
Nike, Inc.	US	S&P500	Consumer Discretionary	Apparel, Accessories & Luxury Goods
NiSource	US	S&P500	Utilities	Multi-Utilities
Nordson Corporation	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Norfolk Southern	US	S&P500	Industrials	Rail Transportation
Northern Trust	US	S&P500	Financials	Asset Management & Custody Banks
Northrop Grumman	US	S&P500	Industrials	Aerospace & Defense
Norwegian Cruise Line Holdings	US	S&P500	Consumer Discretionary	Hotels, Resorts & Cruise Lines
NRG Energy	US	S&P500	Utilities	Independent Power Producers & Energy Traders
Nucor	US	S&P500	Materials	Steel
Nvidia	US	S&P500	Information Technology	Semiconductors
NVR, Inc.	US	S&P500	Consumer Discretionary	Homebuilding
NXP Semiconductors	US	S&P500	Information Technology	Semiconductors
O’Reilly Automotive	US	S&P500	Consumer Discretionary	Automotive Retail
Occidental Petroleum	US	S&P500	Energy	Oil & Gas Exploration & Production
Old Dominion	US	S&P500	Industrials	Cargo Ground Transportation
Omnicom Group	US	S&P500	Communication Services	Advertising
ON Semiconductor	US	S&P500	Information Technology	Semiconductors
Oneok	US	S&P500	Energy	Oil & Gas Storage & Transportation
Oracle Corporation	US	S&P500	Information Technology	Application Software
Otis Worldwide	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Paccar	US	S&P500	Industrials	Construction Machinery & Heavy Transportation Equipment
Packaging Corporation of America	US	S&P500	Materials	Paper & Plastic Packaging Products & Materials
Palantir Technologies	US	S&P500	Information Technology	Application Software
Palo Alto Networks	US	S&P500	Information Technology	Systems Software
Paramount Skydance Corporation	US	S&P500	Communication Services	Movies & Entertainment
Parker Hannifin	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Paychex	US	S&P500	Industrials	Human Resource & Employment Services
PayPal	US	S&P500	Financials	Transaction & Payment Processing Services
Pentair	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
PepsiCo	US	S&P500	Consumer Staples	Soft Drinks & Non-alcoholic Beverages
Pfizer	US	S&P500	Health Care	Pharmaceuticals
PG&E Corporation	US	S&P500	Utilities	Multi-Utilities
Philip Morris International	US	S&P500	Consumer Staples	Tobacco
Phillips 66	US	S&P500	Energy	Oil & Gas Refining & Marketing
Pinnacle West Capital	US	S&P500	Utilities	Multi-Utilities
PNC Financial Services	US	S&P500	Financials	Diversified Banks
PPG Industries	US	S&P500	Materials	Specialty Chemicals
PPL Corporation	US	S&P500	Utilities	Electric Utilities
Principal Financial Group	US	S&P500	Financials	Life & Health Insurance
Procter & Gamble	US	S&P500	Consumer Staples	Personal Care Products
Progressive Corporation	US	S&P500	Financials	Property & Casualty Insurance
Prologis	US	S&P500	Real Estate	Industrial REITs
Prudential Financial	US	S&P500	Financials	Life & Health Insurance
Public Service Enterprise Group	US	S&P500	Utilities	Electric Utilities
PTC Inc.	US	S&P500	Information Technology	Application Software
Public Storage	US	S&P500	Real Estate	Self-Storage REITs
PulteGroup	US	S&P500	Consumer Discretionary	Homebuilding
Quanta Services	US	S&P500	Industrials	Construction & Engineering
Qualcomm	US	S&P500	Information Technology	Semiconductors
Quest Diagnostics	US	S&P500	Health Care	Health Care Services
Qnity Electronics	US	S&P500	Information Technology	Semiconductor Materials & Equipment
Ralph Lauren Corporation	US	S&P500	Consumer Discretionary	Apparel, Accessories & Luxury Goods
